,index,grade,exam_attempts,female,bugs,duplications(%),vulnerabilities,code smells,security hotspots,static_code_analysis,versioning,academic_year,number_of_code_lines,online,team,language,pass_quality_gate
0,0,10,2,1,201,11.0,0,1900,6,0,1,3,32000,0,1,.net,1
1,1,10,2,1,201,11.0,0,1900,6,0,1,3,32000,0,1,.net,1
2,2,10,2,1,201,11.0,0,1900,6,0,1,3,32000,0,1,.net,1
3,3,10,2,1,201,11.0,0,1900,6,0,1,3,32000,0,1,.net,1
4,4,8,2,1,6,18.0,0,545,12,0,1,3,23000,0,1,.net,1
5,5,8,2,0,6,18.0,0,545,12,0,1,3,23000,0,1,.net,1
6,6,8,2,0,6,18.0,0,545,12,0,1,3,23000,0,1,.net,1
7,7,7,2,0,6,18.0,0,545,12,0,1,3,23000,0,1,.net,1
8,8,10,1,0,39,0.8,0,1100,17,0,1,3,19000,0,1,.net,1
9,9,10,1,0,39,0.8,0,1100,17,0,1,3,19000,0,1,.net,1
10,10,8,1,0,39,0.8,0,1100,17,0,1,3,19000,0,1,.net,1
11,11,10,1,1,39,0.8,0,1100,17,0,1,3,19000,0,1,.net,1
12,12,9,2,1,1,5.3,0,467,6,0,1,3,20000,0,1,.net,0
13,13,10,2,1,1,5.3,0,467,6,0,1,3,20000,0,1,.net,0
14,14,8,2,0,1,5.3,0,467,6,0,1,3,20000,0,1,.net,0
15,15,10,2,1,1,5.3,0,467,6,0,1,3,20000,0,1,.net,0
16,16,10,3,0,22,4.9,0,1200,8,0,1,3,27000,0,1,.net,1
17,17,10,3,0,22,4.9,0,1200,8,0,1,3,27000,0,1,.net,1
18,18,10,3,0,22,4.9,0,1200,8,0,1,3,27000,0,1,.net,1
19,19,10,3,0,22,4.9,0,1200,8,0,1,3,27000,0,1,.net,1
20,20,7,3,0,22,6.1,0,784,8,0,1,3,17000,0,1,.net,1
21,21,8,3,0,22,6.1,0,784,8,0,1,3,17000,0,1,.net,1
22,22,7,3,0,22,6.1,0,784,8,0,1,3,17000,0,1,.net,1
23,23,6,3,0,22,6.1,0,784,8,0,1,3,17000,0,1,.net,1
24,24,8,2,0,23,12.6,0,764,5,0,1,3,23000,0,1,.net,0
25,25,8,2,0,23,12.6,0,764,5,0,1,3,23000,0,1,.net,0
26,26,10,2,1,23,12.6,0,764,5,0,1,3,23000,0,1,.net,0
27,27,10,2,0,23,12.6,0,764,5,0,1,3,23000,0,1,.net,0
28,28,9,1,0,19,3.5,0,1000,1,0,1,3,19000,0,1,.net,0
29,29,9,1,0,19,3.5,0,1000,1,0,1,3,19000,0,1,.net,0
30,30,7,1,0,19,3.5,0,1000,1,0,1,3,19000,0,1,.net,0
31,31,7,1,0,19,3.5,0,1000,1,0,1,3,19000,0,1,.net,0
32,32,10,1,0,13,1.7,0,687,1,0,1,3,18000,0,1,.net,0
33,33,8,1,0,13,1.7,0,687,1,0,1,3,18000,0,1,.net,0
34,34,9,1,1,13,1.7,0,687,1,0,1,3,18000,0,1,.net,0
35,35,7,1,1,13,1.7,0,687,1,0,1,3,18000,0,1,.net,0
36,36,7,2,0,7,4.5,0,518,2,0,1,3,11000,0,1,.net,0
37,37,7,2,0,7,4.5,0,518,2,0,1,3,11000,0,1,.net,0
38,38,6,2,1,7,4.5,0,518,2,0,1,3,11000,0,1,.net,0
39,39,10,2,0,7,4.5,0,518,2,0,1,3,11000,0,1,.net,0
40,40,10,3,0,23,6.7,0,851,4,0,1,3,22000,0,1,.net,0
41,41,8,3,1,23,6.7,0,851,4,0,1,3,22000,0,1,.net,0
42,42,8,3,0,23,6.7,0,851,4,0,1,3,22000,0,1,.net,0
43,43,8,3,1,23,6.7,0,851,4,0,1,3,22000,0,1,.net,0
44,44,8,1,1,4,2.4,0,711,4,0,1,3,15000,0,1,.net,1
45,45,8,1,1,4,2.4,0,711,4,0,1,3,15000,0,1,.net,1
46,46,8,1,1,4,2.4,0,711,4,0,1,3,15000,0,1,.net,1
47,47,8,1,0,4,2.4,0,711,4,0,1,3,15000,0,1,.net,1
48,48,6,1,1,14,2.5,0,677,6,0,1,3,14000,0,1,.net,1
49,49,6,1,1,14,2.5,0,677,6,0,1,3,14000,0,1,.net,1
50,50,9,1,0,14,2.5,0,677,6,0,1,3,14000,0,1,.net,1
51,51,9,1,0,14,2.5,0,677,6,0,1,3,14000,0,1,.net,1
52,52,6,3,1,32,5.7,0,583,3,0,1,3,17000,0,1,.net,1
53,53,7,3,0,32,5.7,0,583,3,0,1,3,17000,0,1,.net,1
54,54,7,3,0,32,5.7,0,583,3,0,1,3,17000,0,1,.net,1
55,55,10,3,0,32,5.7,0,583,3,0,1,3,17000,0,1,.net,1
56,56,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
57,57,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
58,58,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
59,59,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
60,60,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
61,61,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
62,62,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
63,63,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
64,64,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
65,65,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
66,66,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
67,67,10,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
68,68,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
69,69,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
70,70,9,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
71,71,7,2,0,14,0.7,0,877,4,0,1,4,17000,0,1,.net,1
72,72,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
73,73,10,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
74,74,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
75,75,8,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
76,76,8,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
77,77,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
78,78,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
79,79,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
80,80,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
81,81,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
82,82,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
83,83,9,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
84,84,7,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,1
85,85,9,3,1,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
86,86,9,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
87,87,10,3,0,3,6.1,0,422,1,0,1,4,10000,0,1,.net,0
88,88,6,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
89,89,6,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
90,90,6,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
91,91,6,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
92,92,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
93,93,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
94,94,7,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
95,95,7,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
96,96,7,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
97,97,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
98,98,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
99,99,9,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
100,100,10,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
101,101,10,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,1
102,102,9,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
103,103,8,2,0,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
104,104,5,2,1,23,1.4,0,414,5,0,1,4,11000,0,1,.net,0
105,105,10,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
106,106,9,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
107,107,8,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,1
108,108,5,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
109,109,8,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
110,110,7,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
111,111,9,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
112,112,6,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
113,113,10,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
114,114,10,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
115,115,7,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
116,116,7,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
117,117,5,2,1,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
118,118,8,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
119,119,7,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
120,120,6,2,0,4,0.0,0,578,4,0,1,4,11000,0,1,.net,0
121,121,10,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
122,122,8,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
123,123,8,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
124,124,8,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
125,125,10,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
126,126,10,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
127,127,8,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
128,128,10,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
129,129,10,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
130,130,10,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
131,131,8,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
132,132,7,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
133,133,7,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
134,134,7,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
135,135,8,1,1,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
136,136,8,1,0,1,1.4,0,573,4,0,1,4,12000,0,1,.net,0
137,137,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,.net,1
138,138,10,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
139,139,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
140,140,8,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
141,141,8,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
142,142,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
143,143,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
144,144,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
145,145,10,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
146,146,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
147,147,9,1,0,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
148,148,9,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
149,149,7,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
150,150,9,1,1,61,4.5,0,293,8,0,1,4,22000,0,1,angular,1
